time_days,epsilon_dot_alpha,epsilon_dot_beta_minus,epsilon_dot
4.579479553670827e-05,18488776190224.12,3575714494983765.0,3594203271173989.0
4.5802847668813065e-05,18490467568447.637,3574539292910420.5,3593029760478868.0
4.5810901216730085e-05,18492159244067.285,3573363884200521.0,3591856043444588.5
4.581895618070828e-05,18493851217135.336,3572188268817734.0,3590682120034869.5
4.5827012560996636e-05,18495543487704.113,3571012446725722.0,3589507990213426.0
4.583507035784417e-05,18497236055825.91,3569836417888145.5,3588333653943971.5
4.5843129571499974e-05,18498928921553.05,3568660182268638.5,3587159111190191.5
4.585119020221315e-05,18500622084937.855,3567483739830856.5,3585984361915794.5
4.585925225023288e-05,18502315546032.688,3566307090538427.5,3584809406084460.0
4.586731571580835e-05,18504009304889.863,3565130234354981.0,3583634243659871.0
4.587538059918882e-05,18505703361561.75,3563953171244143.5,3582458874605705.0
4.5883446900623584e-05,18507397716100.734,3562775901169519.0,3581283298885619.5
4.5891514620361975e-05,18509092368559.15,3561598424094728.5,3580107516463287.5
4.5899583758653384e-05,18510787318989.41,3560420739983366.5,3578931527302356.0
4.590765431574722e-05,18512482567443.895,3559242848799042.5,3577755331366486.5
4.591572629189297e-05,18514178113974.996,3558064750505335.0,3576578928619310.0
4.592379968734014e-05,18515873958635.152,3556886445065831.5,3575402319024466.5
4.593187450233828e-05,18517570101476.766,3555707932444114.0,3574225502545591.0
4.5939950737136996e-05,18519266542552.26,3554529212603746.0,3573048479146298.5
4.5948028391985934e-05,18520963281914.1,3553350285508284.0,3571871248790198.0
4.5956107467134785e-05,18522660319614.707,3552171151121306.0,3570693811440920.5
4.596418796283327e-05,18524323917654.004,3551001262701196.5,3569525586618850.5
4.597226987933118e-05,18525975547623.562,3549834603954635.5,3568360579502259.0
4.598035321687832e-05,18527627468000.312,3548667740073715.5,3567195367541716.0
4.598843797572457e-05,18529279678835.266,3547500671022342.5,3566029950701178.0
4.599652415611984e-05,18530932180179.516,3546333396764459.0,3564864328944638.5
4.600461175831406e-05,18532584972084.15,3545165917263965.0,3563698502236049.0
4.601270078255724e-05,18534238054600.242,3543998232484793.5,3562532470539393.5
4.6020791229099414e-05,18535891427778.902,3542830342390838.0,3561366233818617.0
4.602888309819067e-05,18537545091671.234,3541662246945999.5,3560199792037670.5
4.6036976390081136e-05,18539199046328.36,3540493946114181.0,3559033145160509.5
4.6045071105020984e-05,18540853291801.39,3539325439859256.5,3557866293151058.0
4.605316724326043e-05,18542507828141.47,3538156728145109.5,3556699235973251.0
4.606126480504973e-05,18544162655399.742,3536987810935616.5,3555531973591016.0
4.6069363790639196e-05,18545817773627.36,3535818688194640.5,3554364505968268.0
4.607746420027917e-05,18547473182875.49,3534649359886043.5,3553196833068919.0
4.608556603422005e-05,18549128883195.28,3533479825973690.5,3552028954856886.0
4.6093669292712256e-05,18550784874637.92,3532310086421419.0,3550860871296057.0
4.610177397600628e-05,18552441157254.62,3531140141193075.0,3549692582350329.5
4.6109880084352646e-05,18554097731096.555,3529969990252496.5,3548524087983593.0
4.611798761800192e-05,18555754596214.93,3528799633563500.0,3547355388159715.0
4.6126096577204714e-05,18557411752660.977,3527629071089928.5,3546186482842589.5
4.613420696221169e-05,18559069200485.902,3526458302795591.0,3545017371996077.0
4.614231877327353e-05,18560726939740.945,3525287328644289.0,3543848055584030.0
4.6150432010641e-05,18562364589205.152,3524121826218793.0,3542684190807998.0
4.615854667456488e-05,18563977878670.57,3522962985050685.5,3541526962929356.0
4.6166662765296e-05,18565591451801.71,3521803940122761.0,3540369531574562.5
4.617478028308524e-05,18567205308648.453,3520644691399212.0,3539211896707860.5
4.6182899228183526e-05,18568819449260.703,3519485238844202.5,3538054058293463.0
4.61910196008418e-05,18570433873688.324,3518325582421886.5,3536896016295575.0
4.619914140131109e-05,18572048581981.223,3517165722096417.5,3535737770678398.5
4.620726462984245e-05,18573663574189.324,3516005657831945.0,3534579321406134.5
4.6215389286686976e-05,18575278850362.56,3514845389592623.0,3533420668442985.5
4.6223515372095804e-05,18576894410550.832,3513684917342565.0,3532261811753116.0
4.623164288632011e-05,18578510254804.1,3512524241045919.5,3531102751300723.5
4.6239771829611144e-05,18580126383172.3,3511363360666798.0,3529943487049970.5
4.624790220222018e-05,18581742795705.4,3510202276169311.5,3528784018965017.0
4.625603400439851e-05,18583359492453.35,3509040987517583.0,3527624347010036.5
4.6264167236397524e-05,18584976473466.137,3507879494675703.0,3526464471149169.0
4.627230189846862e-05,18586593738793.734,3506717797607779.5,3525304391346573.0
4.628043799086324e-05,18588211288486.12,3505555896277894.5,3524144107566380.5
4.628857551383289e-05,18589829122593.324,3504393790650143.0,3522983619772736.5
4.6296714467629094e-05,18591447241165.35,3503231480688589.0,3521822927929754.5
4.630485485250345e-05,18593065644252.195,3502068966357318.5,3520662032001570.5
4.6312996668707586e-05,18594684331903.906,3500906247620398.0,3519500931952302.0
4.6321139916493165e-05,18596303304170.5,3499743324441868.0,3518339627746038.5
4.6329284596111905e-05,18597922561102.04,3498580196785794.5,3517178119346896.5
4.633743070781557e-05,18599517134835.727,3497423781971765.5,3516023299106601.0
4.634557825185597e-05,18601092842579.547,3496272468321322.5,3514873561163902.0
4.635372722848494e-05,18602668827381.062,3495120952234643.5,3513723621062024.5
4.636187763795439e-05,18604245089289.02,3493969233676138.0,3512573478765427.0
4.637002948051624e-05,18605821628352.117,3492817312610209.0,3511423134238561.0
4.637818275642247e-05,18607398444619.082,3491665189001231.0,3510272587445850.0
4.6386337465925124e-05,18608975538138.68,3490512862813615.0,3509121838351753.5
4.639449360927625e-05,18610552908959.637,3489360334011723.0,3507970886920682.5
4.6402651186727995e-05,18612130557130.727,3488207602559943.5,3506819733117074.0
4.641081019853248e-05,18613708482700.71,3487054668422635.5,3505668376905336.0
4.641897064494194e-05,18615286685718.355,3485901531564147.5,3504516818249866.0
4.6427132526208596e-05,18616865166232.47,3484748191948873.5,3503365057115106.0
4.643529584258476e-05,18618443924291.816,3483594649541119.5,3502213093465411.5
4.644346059432277e-05,18620022959945.203,3482440904305256.5,3501060927265201.5
4.645162678167498e-05,18621602273241.45,3481286956205613.5,3499908558478855.0
4.645979440489385e-05,18623181864229.375,3480132805206516.5,3498755987070746.0
4.6467963464231825e-05,18624761732957.816,3478978451272291.5,3497603213005249.5
4.647613395994143e-05,18626341879475.57,3477823894367261.0,3496450236246736.5
4.648430589227521e-05,18627922303831.504,3476669134455739.0,3495297056759570.5
4.649247926148579e-05,18629503006074.477,3475514171502019.5,3494143674508094.0
4.6500654067825805e-05,18631083986253.344,3474359005470397.0,3492990089456650.5
4.6508830311547933e-05,18632665244416.973,3473203636325186.0,3491836301569603.0
4.651700799290493e-05,18634244717679.367,3472048632643471.5,3490682877361151.0
4.652518711214958e-05,18635783282659.207,3470904778095882.0,3489540561378541.0
4.6533367669534686e-05,18637322118165.92,3469760722423592.0,3488398044541758.0
4.6541549665313144e-05,18638861224247.07,3468616465591241.0,3487255326815488.0
4.654973309973784e-05,18640400600950.23,3467472007563466.0,3486112408164416.0
4.655791797306174e-05,18641940248323.0,3466327348304884.0,3484969288553207.0
4.656610428553786e-05,18643480166412.953,3465182487780115.5,3483825967946528.5
4.6574292037419236e-05,18645020355267.684,3464037425953772.5,3482682446309040.0
4.658248122895896e-05,18646560814934.816,3462892162790459.0,3481538723605394.0
4.6590671860410174e-05,18648101545461.973,3461746698254766.5,3480394799800228.5
4.6598863932026053e-05,18649642546896.76,3460601032311294.5,3479250674858191.5
4.660705744405982e-05,18651183819286.824,3459455164924638.0,3478106348743925.0
4.661525239676475e-05,18652725362679.805,3458309096059357.5,3476961821422037.5
4.6623448790394154e-05,18654267177123.35,3457162825680048.5,3475817092857172.0
4.66316466252014e-05,18655809262665.125,3456016353751259.0,3474672163013924.0
4.663984590143989e-05,18657351619352.8,3454869680237556.0,3473527031856909.0
4.664804661936306e-05,18658894247234.03,3453722805103507.0,3472381699350741.0
4.66562487792244e-05,18660437146356.52,3452575728313649.5,3471236165460006.0
4.6664452381277464e-05,18661980316767.95,3451428449832525.0,3470090430149293.0
4.667265742577582e-05,18663523758516.03,3450280969624678.0,3468944493383194.0
4.668086391297311e-05,18665067471648.477,3449133287654628.0,3467798355126276.5
4.668907184312299e-05,18666611456212.977,3447985403886908.5,3466652015343121.5
4.669728121647918e-05,18668155712257.293,3446837318286034.5,3465505473998292.0
4.6705492033295435e-05,18669663148467.586,3445699205562356.5,3464368868710824.0
4.671370429382557e-05,18671165512298.562,3444562356865625.5,3463233522377924.0
4.672191799832344e-05,18672668140291.15,3443425308276042.0,3462097976416333.0
4.673013314704291e-05,18674171032491.758,3442288059758460.5,3460962230790952.5
4.6738349740237936e-05,18675674188946.88,3441150611277727.5,3459826285466674.5
4.674656777816251e-05,18677177609702.965,3440012962798675.5,3458690140408378.5
4.675478726107064e-05,18678681294806.492,3438875114286156.5,3457553795580963.0
4.676300818921642e-05,18680185244303.94,3437737065704985.5,3456417250949289.5
4.6771230562853955e-05,18681689458241.79,3436598817019982.5,3455280506478224.5
4.67794543822374e-05,18683193936666.547,3435460368195973.5,3454143562132640.0
4.6787679647620976e-05,18684698679624.71,3434321719197761.0,3453006417877385.5
4.6795906359258935e-05,18686203687162.805,3433182869990151.0,3451869073677314.0
4.680413451740556e-05,18687708959327.34,3432043820537935.0,3450731529497262.5
4.68123641223152e-05,18689214496164.848,3430904570805911.5,3449593785302076.5
4.6820595174242236e-05,18690720297721.863,3429765120758856.5,3448455841056578.5
4.6828827673441095e-05,18692226364044.934,3428625470361560.5,3447317696725605.5
4.683706162016627e-05,18693732695180.613,3427485619578786.0,3446179352273966.5
4.684529701467226e-05,18695239291175.47,3426345568375299.5,3445040807666475.0
4.685353385721363e-05,18696746152076.074,3425205316715863.5,3443902062867939.5
4.686177214804502e-05,18698253277928.99,3424064864565232.0,3442763117843161.0
4.6870011887421044e-05,18699760668780.82,3422924211888148.0,3441623972556929.0
