time_days,Nuclei:Pt197 top 1
111.42163504810209,1.6264377148463476e-89
111.44122639498408,1.6263357867770475e-89
111.46082118662642,1.626233853563798e-89
111.48041942363558,1.6261319152077815e-89
111.50002110661654,1.626029971710188e-89
111.51962623617564,1.6259280230722022e-89
111.53923481291929,1.6258260692950095e-89
111.55884683745282,1.6257241103798007e-89
111.57846231038324,1.6256221463277597e-89
111.59808123231609,1.625520177140078e-89
111.61770360385859,1.6254182028179402e-89
111.63732942561651,1.6253162233625375e-89
111.65695869819731,1.625214238775056e-89
111.67659142220694,1.625112249056688e-89
111.69622759825268,1.6250102542086202e-89
111.71586722694188,1.624908254232041e-89
111.73551030888085,1.6248062491281433e-89
111.75515684467753,1.6247042388981138e-89
111.77480683493846,1.6246022235431465e-89
111.7944602802718,1.6245002030644285e-89
111.81411718128432,1.624398177463154e-89
111.83377753858399,1.6242961467405124e-89
111.85344135277894,1.624194110897693e-89
111.87310862447617,1.624092069935892e-89
111.89277935428449,1.623990023856297e-89
111.91245354281106,1.6238879726601038e-89
111.93213119066489,1.6237859163485016e-89
111.95181229845338,1.6236838549226876e-89
111.97149686678576,1.6235817883838495e-89
111.99118489626963,1.6234797167331862e-89
112.01087638751402,1.623377639971889e-89
112.03057134112798,1.6232755581011486e-89
112.0502697577195,1.6231734711221646e-89
112.06997163789833,1.6230713790361268e-89
112.08967698227262,1.622969281844234e-89
112.1093857914523,1.622867179547678e-89
112.12909806604578,1.622765072147657e-89
112.14881380666321,1.6226629596453635e-89
112.1685330139132,1.622560842041997e-89
112.18825568840572,1.622458719338751e-89
112.20798183075077,1.622356591536821e-89
112.22771144155735,1.6222544586374075e-89
112.24744452143608,1.622152320641703e-89
112.26718107099617,1.6220501775509092e-89
112.28692109084848,1.621948029366219e-89
112.30666458160239,1.621845876088835e-89
112.3264115438686,1.6217437177199524e-89
112.34616197825791,1.6216415542607688e-89
112.36591588538,1.6215393857124857e-89
112.38567326584632,1.6214372120762987e-89
112.40543412026675,1.6213350333534108e-89
112.42519844925296,1.621232849545017e-89
112.44496625341507,1.621130660652322e-89
112.46473753336491,1.6210284666765207e-89
112.48451228971285,1.6209262676188183e-89
112.50429052307052,1.6208240634804134e-89
112.52407223404971,1.620721854262504e-89
112.5438574232611,1.6206196399662957e-89
112.56364609131704,1.6205174205929858e-89
112.58343823882844,1.620415196143781e-89
112.60323386640788,1.620312966619878e-89
112.62303297466649,1.620210732022483e-89
112.64283556421704,1.6201084923527954e-89
112.66264163567088,1.6200062476120213e-89
112.68245118964063,1.6199039978013622e-89
112.702264226739,1.619801742922019e-89
112.72208074757765,1.6196994829751995e-89
112.74190075276995,1.6195972179621038e-89
112.76172424292771,1.61949494788394e-89
112.78155121866455,1.6193926727419083e-89
112.80138168059246,1.6192903925372175e-89
112.82121562932491,1.619188107271071e-89
112.84105306547534,1.6190858169446715e-89
112.86089398965615,1.6189835215592287e-89
112.88073840248144,1.6188812211159443e-89
112.90058630456383,1.6187789156160293e-89
112.92043769651762,1.6186766050606847e-89
112.94029257895568,1.618574289451122e-89
112.9601509524925,1.618471968788544e-89
112.98001281774116,1.6183696430741618e-89
112.99987817531596,1.618267312309181e-89
113.01974702583139,1.6181649764948073e-89
113.03961936990082,1.6180626356322525e-89
113.05949520813931,1.6179602897227208e-89
113.07937454116046,1.6178579387674257e-89
113.09925736957955,1.617755582767571e-89
113.11914369401038,1.61765322172437e-89
113.13903351506843,1.6175508556390293e-89
113.15892683336776,1.617448484512761e-89
113.17882364952365,1.6173461083467736e-89
113.19872396415158,1.6172437271422758e-89
113.21862777786586,1.6171413409004807e-89
113.23853509128251,1.6170389496225972e-89
113.25844590501615,1.616936553309839e-89
113.27836021968297,1.616834151963413e-89
113.29827803589778,1.616731745584536e-89
113.3181993542771,1.616629334174415e-89
113.33812417543584,1.6165269177342667e-89
113.35805249999032,1.6164244962653015e-89
113.37798432855699,1.6163220697687295e-89
113.3979196617511,1.616219638245768e-89
113.41785850018972,1.6161172016976265e-89
113.43780084448834,1.6160147601255223e-89
113.45774669526425,1.6159123135306656e-89
113.47769605313313,1.6158098619142737e-89
113.49764891871207,1.615707405277559e-89
113.51760529261826,1.615604943621735e-89
113.53756517546773,1.6155024769480202e-89
113.5575285678783,1.615400005257625e-89
113.5774954704662,1.6152975285517695e-89
113.59746588384947,1.615195046831666e-89
113.61743980864459,1.6150925600985335e-89
113.63741724546982,1.6149900683535847e-89
113.65739819494183,1.61488757159804e-89
113.67738265767868,1.614785069833114e-89
113.69737063429851,1.6146825630600223e-89
113.71736212541835,1.6145800512799863e-89
113.73735713165698,1.6144775344942187e-89
113.75735565363165,1.614375012703943e-89
113.77735769196136,1.6142724859103713e-89
113.79736324726353,1.614169954114728e-89
113.81737232015742,1.6140674173182268e-89
113.83738491126071,1.6139648755220908e-89
113.85740102119239,1.6138623287275374e-89
113.87742065057161,1.613759776935784e-89
113.89744380001636,1.613657220148055e-89
113.91747047014643,1.6135546583655654e-89
113.93750066157999,1.613452091589541e-89
113.95753437493705,1.613349519821197e-89
