time_days,Nuclei:Ir195 top 14
0.00040062571187707833,322482139.31432074
0.00040069615418648923,322624518.14117837
0.0004007666088818227,322766921.85668355
0.0004008370759652562,322909350.46516013
0.0004009075554389682,323051803.97093475
0.000400978047305137,323194611.2363006
0.00040104855156594194,323338099.37833923
0.0004011190682235619,323481612.60281
0.00040118959728017723,323625150.9140727
0.0004012601387379674,323768714.3164855
0.0004013306925991136,323912302.8144098
0.00040140125886579606,324055916.4122052
0.0004014718375401965,324199555.11423415
0.00040154242862449637,324343218.9248584
0.0004016130321208779,324486907.84844166
0.00040168364803152325,324630621.8893473
0.0004017542763586155,324774361.0519403
0.0004018249171043376,324918125.3405855
0.0004018955702708733,325061914.7596496
0.0004019662358604065,325205729.3134989
0.0004020369138751215,325349569.00650144
0.00040210760431720307,325493433.84302515
0.00040217830718883643,325637323.8274397
0.0004022490224922071,325781238.96411467
0.00040231975022950053,325925179.2574201
0.00040239049040290354,326069144.7117282
0.0004024612430146022,326213135.3314101
0.00040253200806678426,326357151.12083995
0.00040260278556163647,326501192.08439
0.00040267357550134714,326645258.22643584
0.000402744377888104,326789349.5513513
0.0004028151927240961,326933466.0635134
0.00040288602001151196,327077607.7672979
0.00040295685975254135,327221774.66708297
0.0004030277119493735,327365966.76724553
0.000403098576604199,327510184.07216567
0.00040316945371920797,327654426.586222
0.00040324034329659164,327798694.313796
0.00040331124533854104,327942987.25926745
0.0004033821598472479,328087305.4270195
0.00040345308682490416,328231648.82143366
0.0004035240262737025,328376017.4468943
0.0004035949781958353,328520411.3077843
0.0004036659425934963,328664830.40849
0.0004037369194688788,328809274.75339615
0.00040380790882417646,328954142.108861
0.0004038789106615842,329099619.0755099
0.00040394992498329636,329245121.4711934
0.00040402095179150834,329390649.3003304
0.0004040919910884153,329536202.5673397
0.00040416304287621357,329681781.276642
0.00040423410715709896,329827385.4326572
0.00040430518393326856,329973015.0398076
0.0004043762732069192,330118670.102515
0.0004044473749802484,330264350.6252026
0.0004045184892554539,330410056.6122938
0.0004045896160347341,330555788.06821376
0.00040466075532028726,330701544.9973871
0.0004047319071143128,330847327.40424055
0.0004048030714190097,330993135.2932004
0.00040487424823657805,331138968.6686945
0.00040494543756921776,331284827.5351511
0.00040501663941912953,331430711.8969995
0.000405087853788514,331576621.7586689
0.00040515908067957293,331722557.124591
0.0004052303200945075,331868517.99919575
0.0004053015720355203,332014504.38691705
0.00040537283650481353,332160516.29218656
0.0004054441135045899,332306553.7194378
