time_days,Nuclei:Lu177 top 13
2.8154004539462785e-05,0.000631083301231363
2.8158954878495285e-05,0.0006329350899151183
2.816390608794949e-05,0.0006347872041982168
2.8168858167978444e-05,0.0006366396441379079
2.8173811118735216e-05,0.0006384924097914506
2.8178764940372912e-05,0.0006403455012161136
2.818371963304466e-05,0.0006421989184691812
2.8188675196903608e-05,0.000644052661607937
2.8193631632102947e-05,0.0006459067306896867
2.8198588938795884e-05,0.0006478435089832515
2.8203547117135648e-05,0.0006497878486666131
2.8208506167275504e-05,0.0006517325302225225
2.8213466089368746e-05,0.0006536775537110919
2.8218426883568682e-05,0.0006556229191924427
2.8223388550028656e-05,0.0006575686267267046
2.822835108890205e-05,0.0006595146763740246
2.8233314500342245e-05,0.0006614610681945517
2.823827878450267e-05,0.0006634078022484522
2.8243243941536788e-05,0.0006653548785959012
2.8248209971598063e-05,0.000667302297297082
2.8253176874840002e-05,0.0006692500584121894
2.8258144651416146e-05,0.0006711981620014328
2.8263113301480042e-05,0.0006731466081250251
2.8268082825185286e-05,0.0006750953968431976
2.8273053222685484e-05,0.0006770445282161841
2.827802449413428e-05,0.0006789940023042358
2.8282996639685335e-05,0.0006809438191676103
2.8287969659492347e-05,0.0006828939788665772
2.829294355370904e-05,0.0006848738873222527
2.829791832248916e-05,0.0006869180005347248
2.830289396598648e-05,0.0006889624731628819
2.8307870484354813e-05,0.0006910073052699215
2.8312847877747967e-05,0.0006930524969190455
2.831782614631982e-05,0.0006950980481734767
2.8322805290224245e-05,0.000697143959096442
2.832778530961515e-05,0.0006991902297511795
2.833276620464647e-05,0.0007012368602009409
2.833774797547218e-05,0.00070328385050899
2.8342730622246264e-05,0.0007053312007385999
2.8347714145122746e-05,0.0007073789109530549
2.8352698544255672e-05,0.0007094269812156518
2.8357683819799105e-05,0.0007114754115896938
2.8362669971907156e-05,0.0007135242021385024
2.8367657000733946e-05,0.0007155733529254047
2.8372644906433634e-05,0.0007176228640137412
2.8377633689160396e-05,0.0007196727354668649
2.838262334906844e-05,0.0007217229673481342
2.8387613886312e-05,0.0007237735597209254
2.8392605301045352e-05,0.0007258984405090339
2.8397597593422768e-05,0.0007280467944894582
2.8402590763598576e-05,0.0007301955262141782
2.8407584811727115e-05,0.0007323446357496093
2.841257973796276e-05,0.0007344941231621812
2.8417575542459905e-05,0.0007366439885183359
2.8422572225372975e-05,0.0007387942318845261
2.8427569786856427e-05,0.0007409448533272177
2.843256822706474e-05,0.0007430958529128893
2.843756754615242e-05,0.000745247230708025
2.8442567744273994e-05,0.0007473989867791259
2.8447568821584036e-05,0.0007495511211927067
2.845257077823712e-05,0.0007517036340152857
2.8457573614387877e-05,0.0007538565253134026
2.846257733019094e-05,0.0007560097951536049
2.846758192580098e-05,0.0007581634436024465
2.8472587401372695e-05,0.0007603174707265
2.8477593757060807e-05,0.0007624718765923455
2.848260099302007e-05,0.0007646266612665805
2.848760910940527e-05,0.0007668079812347043
2.84926181063712e-05,0.000769064428831571
