time_days,Nuclei:Te129 top 9
0.00012470685848580467,343385.21858654794
0.00012472878578315656,343570.1988197238
0.00012475071693600101,343755.21157807345
0.000124772651945016,343940.2568673162
0.0001247945908108795,344125.33469317143
0.00012481653353426975,344310.44506136084
0.00012483848011586487,344495.5879776052
0.00012486043055634345,344680.76344762894
0.0001248823848563838,344865.9714771544
0.00012490434301666472,345051.212071908
0.00012492630503786482,345236.48523761437
0.0001249482709206631,345421.79098000185
0.00012497024066573841,345607.1293047971
0.00012499221427377,345792.50021773
0.00012501419174543694,345977.90372452996
0.00012503617308141875,346163.33983092854
0.00012505815828239473,346348.80854265706
0.0001250801473490446,346534.3098654494
0.00012510214028204792,346719.8438050386
0.0001251241370820847,346905.41036716045
0.00012514613774983468,347091.0751593008
0.0001251681422859781,347278.6708862665
0.00012519015069119505,347466.2995982895
0.00012521216296616582,347653.9613011694
0.0001252341791115709,347841.6560007078
0.00012525619912809072,348029.3837027056
0.00012527822301640609,348217.1444129666
0.00012530025077719766,348404.93813729385
0.00012532228241114642,348592.76488149306
0.0001253443179189333,348780.624651369
0.00012536635730123956,348968.5174527296
0.00012538840055874631,349156.44329138205
0.00012541044769213508,349344.4021731362
0.00012543249870208725,349532.3941038009
0.00012545455358928454,349720.41908918833
0.00012547661235440857,349908.47713510937
0.00012549867499814135,350096.568247378
0.0001255207415211647,350284.6924318077
0.00012554281192416085,350472.84969421406
0.00012556488620781193,350661.04004041257
0.00012558696437280035,350849.263476221
0.00012560904641980845,351037.52000745677
0.00012563113234951898,351225.80963994015
0.00012565322216261446,351414.1323794901
0.00012567531585977787,351602.48823192884
0.00012569741344169207,351790.8772030783
0.00012571951490904007,351979.2992987612
0.0001257416202625051,352167.7545248027
0.00012576372950277046,352356.2428870274
0.00012578584263051962,352544.7643912625
0.000125807959646436,352733.31904333417
0.00012583008055120338,352921.90684907214
0.00012585220534550544,353110.5278143045
0.00012587433403002615,353299.18194486306
0.00012589646660544947,353487.86924657796
0.00012591860307245963,353676.58972528286
0.00012594074343174081,353865.3433868104
0.0001259628876839774,354054.9084469166
0.00012598503582985393,354245.7056810789
0.00012600718787005505,354436.53646322165
0.00012602934380526537,354627.4007992424
0.00012605150363616995,354818.2986950424
0.00012607366736345355,355009.23015652114
0.00012609583498780148,355200.1951895817
0.00012611800650989884,355391.1938001261
0.00012614018193043102,355582.2259940587
0.0001261623612500835,355773.29177728476
0.00012618454446954177,355964.3911557091
0.00012620673158949164,356155.52413524024
0.00012622892261061886,356346.6907217852
0.00012625111753360947,356537.8909212537
0.00012627331635914942,356729.12473955547
0.00012629551908792505,356920.39218260243
0.0001263177257206225,357111.69325630605
0.00012633993625792833,357303.0279665803
0.00012636215070052897,357494.3963193386
0.00012638436904911126,357685.7983204976
0.00012640659130436178,357877.2339759723
0.00012642881746696764,358068.70329168154
0.00012645104753761574,358260.2062735426
0.00012647328151699333,358451.7429274758
0.00012649551940578757,358643.31325940124
0.000126517761204686,358834.91727524105
0.00012654000691437596,359026.554980917
0.0001265622565355453,359218.2263823539
0.00012658451006888156,359409.93148547556
0.0001266067675150728,359601.6702962087
0.00012662902887480685,359793.44282047893
0.00012665129414877205,359985.24906421546
0.00012667356333765644,360177.0890333463
0.00012669583644214845,360368.9627338012
0.0001267181134629366,360560.87017151207
0.00012674039440070943,360752.8113524098
0.0001267626792561558,360944.78628242883
0.00012678496802996436,361138.76183082757
0.00012680726072282424,361332.7948034595
0.0001268295573354244,361526.86189301225
0.00012685185786845418,361720.9631054855
0.0001268741623226028,361915.09844687866
0.00012689647069855984,362109.26792319305
0.00012691878299701473,362303.47154043
0.00012694109921865731,362497.7093045932
0.00012696341936417724,362691.98122168594
0.00012698574343426462,362886.28729771415
0.00012700807142960937,363080.62753868336
0.00012703040335090176,363275.0019506013
0.00012705273919883206,363469.41053947574
0.0001270750789740907,363663.8533113167
0.00012709742267736818,363858.3302721337
0.00012711977030935528,364052.8414279393
0.00012714212187074265,364247.38678474474
0.00012716447736222134,364441.9663485649
0.0001271868367844823,364636.58012541384
