time_days,Nuclei:I132 top 2
0.00034223482486173064,90453.84309836084
0.0003422950002591389,90492.43721966351
0.0003423551862372308,90531.03812697859
0.00034241538279786697,90569.64582149952
0.0003424755899429079,90608.26030441945
0.000342535807674215,90646.8815769322
0.0003425960359936493,90685.5096402314
0.0003426562749030728,90724.14449551121
0.00034271652440434744,90762.78614396582
0.0003427767844993354,90801.43458678953
0.0003428370551898997,90840.08982517722
0.0003428973364779031,90878.9217893591
0.0003429576283652092,90918.02000657131
0.00034301793085368145,90957.12509843118
0.0003430782439451841,90996.23706614776
0.00034313856764158125,91035.35591092975
0.00034319890194473777,91074.48163398655
0.00034325924685651846,91113.61423652743
0.00034331960237878886,91152.7537197621
0.00034337996851341437,91191.90008490029
0.00034344034526226125,91231.0533331522
0.0003435007326271955,91270.21346572791
0.0003435611306100841,91309.38048383806
0.0003436215392127936,91348.55438869308
0.00034368195843719173,91387.73518150419
0.00034374238828514575,91426.92286348224
0.00034380282875852387,91466.11743583868
0.00034386327985919417,91505.31889978498
0.00034392374158902537,91544.52725653295
0.0003439842139498863,91583.74250729445
0.0003440446969436464,91622.96465328177
0.00034410519057217516,91662.19369570725
0.00034416569483734235,91701.42963578341
0.0003442262097410185,91740.67247472322
0.0003442867352850739,91779.9222137395
0.00034434727147137967,91819.1788540457
0.00034440781830180693,91858.44239685508
0.0003444683757782274,91897.71284338152
0.0003445289439025127,91936.99019483865
0.00034458952267653537,91976.2744524408
0.00034465011210216767,92015.56561740208
0.00034471071218128267,92054.86369093713
0.00034477132291575345,92094.16867426061
0.00034483194430745377,92133.48056858758
0.0003448925763582572,92172.79937513307
0.0003449532190700382,92212.12509511251
0.00034501387244467106,92251.45772974144
0.0003450745364840309,92290.79728023578
0.0003451352111899926,92330.14374781137
0.0003451958965644321,92369.49713368465
0.0003452565926092247,92408.85743907189
0.0003453172993262471,92448.22466518982
0.00034537801671737556,92487.59881325533
0.0003454387447844868,92527.28606914908
0.00034549948352945815,92567.10837386524
0.00034556023295416704,92606.9376805454
0.0003456209930604914,92646.77399042094
0.00034568176385030926,92686.61730472301
0.00034574254532549923,92726.46762468334
0.0003458033374879399,92766.32495153358
0.00034586414033951077,92806.18928650598
0.00034592495388209094,92846.06063083254
0.00034598577811756055,92885.9389857459
0.0003460466130477994,92925.82435247856
0.00034610745867468836,92965.71673226361
0.00034616831500010786,93005.61612633389
0.0003462291820259393,93045.52253592297
0.00034629005975406386,93085.4359622642
0.0003463509481863637,93125.35640659151
0.00034641184732472056,93165.28387013865
0.00034647275717101725,93205.21835414004
0.0003465336777271362,93245.1598598299
0.0003465946089949609,93285.10838844297
0.0003466555509763744,93325.06394121404
0.0003467165036732608,93365.0265193782
0.0003467774670875042,93404.99612417074
0.0003468384412209887,93444.97275682694
0.00034689942607559946,93484.9564185828
0.00034696042165322134,93524.94711067407
0.00034702142795573995,93564.94483433693
0.0003470824449850408,93604.94959080772
0.0003471434727430103,93644.9613813231
0.0003472045112315347,93684.98020711975
0.00034726556045250084,93725.00606943479
0.0003473266204077957,93765.03896950536
0.00034738769109930685,93805.07890856899
0.00034744877252892184,93845.12588786322
0.000347509864698529,93885.17990862606
0.00034757096761001653,93925.24097209549
0.00034763208126527344,93965.30907951
0.0003476932056661885,94005.38423210791
0.0003477543408146515,94045.4664311282
0.00034781548671255173,94085.55567780959
0.00034787664336177976,94125.6519733915
0.0003479378107642256,94165.89370717287
0.0003479989889217803,94206.44330168673
0.0003480601778363348,94247.00002604398
0.0003481213775097804,94287.56388149827
0.00034818258794400907,94328.13486930367
0.0003482438091409126,94368.71299071392
0.00034830504110238385,94409.29824698366
0.000348366283830315,94449.89063936714
0.0003484275373265996,94490.49016911935
0.00034848880159313073,94531.09683749496
0.0003485500766318024,94571.71064574942
0.0003486113624445084,94612.33159513793
0.00034867265903314344,94652.95968691634
0.000348733966399602,94693.5949223402
0.00034879528454577935,94734.23730266589
0.00034885661347357064,94774.88682914941
0.000348917953184872,94815.54350304749
0.00034897930368157904,94856.20732561669
0.0003490406649655886,94896.87829811416
0.00034910203703879706,94937.5564217968
0.0003491634199031018,94978.24169792225
0.00034922481356039996,95018.93412774787
0.0003492862180125895,95059.63371253182
0.00034934763326156825,95100.34045353183
0.00034940905930923495,95141.05435200638
0.0003494704961574881,95181.77540921397
0.0003495319438082267,95222.50362641313
0.00034959340226335044,95263.239004863
0.00034965487152475874,95303.98154582261
0.000349716351594352,95344.73125055146
0.0003497778424740303,95385.48812030893
0.0003498393441656948,95426.25215635517
0.0003499008566712461,95467.02335994995
0.00034996237999258606,95507.80173235374
0.00035002391413161603,95548.58727482684
0.00035008545909023846,95589.37998863013
0.0003501470148703554,95630.17987502436
0.00035020858147387,95670.98693527092
0.000350270158902685,95711.80117063096
0.00035033174715870405,95752.6225823663
0.0003503933462438307,95793.45117173846
0.0003504549561599693,95834.38529948173
